,COD_Ateneo,COMUNE,Classe dimensione,Indirizzo,NomeEsteso,NomeOperativo,PROVINCIA,REGIONE,Statale/NonStataleLibera,Tipologia_ateneo_descrizione,URL,Zona Geografica,_id,status,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021
53,5807,ROMA,da 30.000 a 59.999,"Via Ostiense, 159",Università degli Studi Roma Tre,Roma Tre,ROMA,LAZIO,Statale   ,Università,www.uniroma3.it,CENTRO,63,Attivo    ,3.8,4.0,4.0,4.0,,3.9
54,5808,ROMA,inferiore a 10.000,"Via Alvaro del Portillo, 21",Università Campus Bio-medico di Roma,Roma Biomedico,ROMA,LAZIO,Non Statale,Università,www.unicampus.it,CENTRO,64,Attivo    ,4.2,4.0,4.0,4.7,,4.5
55,5809,ROMA,inferiore a 10.000,"Via Cristoforo Colombo, 200",Università degli Studi Internazionali di Roma – UNINT,Roma UNINT,ROMA,LAZIO,Non Statale,Università,www.luspio.it,CENTRO,65,Attivo    ,4.8,5.4,7.4,6.6,,5.6
56,5810,ROMA,da 10.000 a 19.999,"via Plinio, 44",Università telematica Guglielmo Marconi di Roma,Roma Marconi,ROMA,LAZIO,Non Statale,Università telematica,www.unimarconi.it,CENTRO,66,Attivo    ,2.6,2.7,2.9,2.9,,3.7
57,5811,ROMA,inferiore a 10.000,"Viale Regina Elena, 295",Università telematica Unitelma Sapienza di Roma,Roma UNITELMA,ROMA,LAZIO,Non Statale,Università telematica,www.unitelma.it,CENTRO,67,Attivo    ,3.8,3.5,3.4,3.5,,3.0
58,5812,ROMA,inferiore a 10.000,"Via degli Aldobrandeschi, 190",Università Europea di Roma,Roma Europea,ROMA,LAZIO,Non Statale,Università,www.unier.it,CENTRO,68,Attivo    ,4.0,4.6,3.6,4.0,,4.3
59,5813,ROMA,da 10.000 a 19.999,"Corso Vittorio Emanuele II, 39",Università telematica internazionale UNINETTUNO di Roma,Roma UNINETTUNO,ROMA,LAZIO,Non Statale,Università telematica,www.uninettunouniversity.net,CENTRO,69,Attivo    ,1.4,1.8,2.1,2.7,,1.5
60,5814,ROMA,inferiore a 10.000,"Piazza Mattei, 10",Universitas Mercatorum di Roma,Roma  Mercatorum,ROMA,LAZIO,Non Statale,Università telematica,www.unimercatorum.it,CENTRO,70,Attivo    ,,1.6,,,,
61,5815,ROMA,da 20.000 a 29.999,"Via Don Carlo Gnocchi, 3",Università telematica Niccolò Cusano di Roma,Roma UNICUSANO,ROMA,LAZIO,Non Statale,Università telematica,www.unicusano.it,CENTRO,71,Attivo    ,2.3,2.4,2.3,0.9,,4.2
62,5816,ROMA,inferiore a 10.000,"Via di Val Cannuta, 247","Università telematica ""San Raffaele"" di Roma - già ""UNITEL""",Roma San Raffaele,ROMA,LAZIO,Non Statale,Università telematica,www.unisanraffaele.gov.it,CENTRO,72,Attivo    ,1.9,1.8,2.1,2.3,,2.6
63,5817,ROMA,inferiore a 10.000,via del Casale di San Pio n. 44,Link Campus University di Roma,Roma - Link Campus,ROMA,LAZIO,Non Statale,Università,www.unilink.it,CENTRO,73,Attivo    ,2.3,3.5,3.6,6.4,,6.0
64,5818,ROMA,inferiore a 10.000,via dei Cartari n. 42,Saint Camillus International University of Health,Roma Saint Camillus,ROMA,LAZIO,Non Statale,Università,,CENTRO,74,Attivo    ,,,,,,5.8
65,6001,CASSINO,inferiore a 10.000,Viale dell'Università-Rettorato CampusUniversitario - località Folcara,Università degli Studi di Cassino e del Lazio Meridionale,Cassino,FROSINONE,LAZIO,Statale   ,Università,www.unicas.it,CENTRO,75,Attivo    ,4.0,4.4,5.1,5.2,,5.8
66,6201,BENEVENTO,inferiore a 10.000,"Piazza Guerrazzi, 1",Università degli Studi del Sannio,Sannio,BENEVENTO,CAMPANIA,Statale   ,Università,www.unisannio.it,SUD,76,Attivo    ,2.6,2.8,2.9,2.9,,3.5
67,6202,BENEVENTO,inferiore a 10.000,"Viale R. Delcogliano, 12","Università telematica ""Giustino Fortunato"" di Benevento",Benevento - Giustino Fortunato,BENEVENTO,CAMPANIA,Non Statale,Università telematica,www.unifortunato.eu,SUD,77,Attivo    ,,,,4.9,,3.8
68,6301,NAPOLI,60.000 e oltre,"C.so Umberto I, 40",Università degli studi di Napoli Federico II,Napoli Federico II,NAPOLI,CAMPANIA,Statale   ,Università,www.unina.it,SUD,78,Attivo    ,2.5,2.7,2.8,2.8,,2.8
69,6302,NAPOLI,da 10.000 a 19.999,"Via Amm.F. Acton, 38",Università degli Studi di Napoli - Parthenope,Napoli Parthenope,NAPOLI,CAMPANIA,Statale   ,Università,www.uniparthenope.it,SUD,79,Attivo    ,2.4,2.6,2.8,3.0,,3.3
70,6303,NAPOLI,da 10.000 a 19.999,"Via Chiatamone, 61/62",Università degli studi L'Orientale di Napoli,Napoli L'Orientale,NAPOLI,CAMPANIA,Statale   ,Università,www.unior.it,SUD,80,Attivo    ,3.5,3.6,3.6,3.3,,4.0
71,6304,NAPOLI,inferiore a 10.000,"Via Suor Orsola, 10",Università degli studi Suor Orsola Benincasa di Napoli,Napoli Benincasa,NAPOLI,CAMPANIA,Non Statale,Università,www.unisob.na.it,SUD,81,Attivo    ,3.0,3.3,3.2,3.2,,3.5
72,6306,CASERTA,da 20.000 a 29.999,Viale Abramo Lincoln n.5,Seconda Università degli Studi di Napoli,Napoli II,CASERTA,CAMPANIA,Statale   ,Università,www.unicampania.it,SUD,83,Attivo    ,3.0,3.0,3.1,3.4,,3.0
73,6307,NAPOLI,da 30.000 a 59.999,Piazza Trieste e Trento n. 48,"Universita telematica ""Pegaso"" di Napoli",Napoli Pegaso,NAPOLI,CAMPANIA,Non Statale,Università telematica,www.unipegaso.it,SUD,84,Attivo    ,3.1,2.8,3.0,3.5,,0.9
74,6501,FISCIANO,da 30.000 a 59.999,"Via Giovanni Paolo II, 132",Università degli Studi di Salerno,Salerno,SALERNO,CAMPANIA,Statale   ,Università,www.unisa.it,SUD,85,Attivo    ,2.9,3.1,3.4,3.6,,2.9
