,AteneoCOD,Perc_immfs_10_11,Perc_immfs_11_12,Perc_immfs_12_13,Perc_immfs_13_14,Perc_immfs_14_15,Perc_immfs_15_16,Perc_immfs_16_17,Perc_immfs_17_18,Perc_immfs_18_19,Perc_immfs_19_20,Perc_immfs_20_21
67,6304,0.4,0.9,0.5,1.0,1.0,1.1,1.3,0.7,0.3,0.8,0.7
68,6306,0.3,0.2,0.5,1.0,1.5,1.2,1.4,2.4,2.9,2.8,2.9
69,6307,0.1,,0.2,0.1,0.3,0.5,0.4,0.3,2.9,0.5,2.6
70,6501,0.6,0.6,1.1,1.1,1.1,1.0,0.9,1.1,1.3,1.4,1.1
71,6601,2.9,2.5,2.3,2.2,2.8,1.8,3.0,2.9,2.7,3.1,2.2
72,6701,2.6,3.2,2.5,1.9,2.7,1.9,1.9,1.5,2.9,1.9,2.4
73,6901,2.2,1.8,1.8,2.5,2.6,3.1,2.3,3.0,2.6,3.3,3.0
74,6902,,3.0,3.8,,,,,,,,
75,7001,1.0,0.8,1.4,1.4,1.1,1.7,1.0,2.0,2.9,1.0,1.3
76,7101,1.5,1.5,1.4,1.1,0.8,1.7,1.0,1.4,1.8,1.5,1.2
77,7201,1.5,1.6,1.5,1.8,1.8,1.4,1.9,2.1,1.7,1.8,1.9
78,7202,0.6,0.9,1.0,1.3,1.2,0.9,1.1,1.4,1.0,1.4,1.0
79,7203,,0.7,0.7,2.9,0.7,,,0.4,,0.8,
80,7501,0.8,0.9,0.8,1.3,1.1,1.0,1.3,1.3,0.9,1.3,1.6
81,7601,0.4,0.7,0.2,0.5,1.2,1.0,1.0,1.2,0.9,1.3,1.5
82,7801,1.2,1.1,1.5,1.2,1.9,1.7,2.7,4.0,3.4,4.0,4.6
83,7901,1.7,1.4,0.8,0.8,0.6,1.1,1.4,2.6,2.1,2.6,2.1
84,8001,0.9,0.9,0.8,1.4,1.5,1.2,1.9,2.0,3.5,6.1,3.4
85,8003,12.9,12.7,9.0,7.1,17.2,11.1,48.9,31.1,24.5,52.4,28.2
86,8201,1.0,0.8,0.6,0.7,0.6,0.9,0.9,1.1,1.2,1.4,1.2
87,8301,1.5,1.2,1.3,1.2,1.4,1.0,1.3,2.0,2.6,2.5,7.0
88,8601,0.2,0.5,1.0,0.8,0.2,0.8,0.7,0.9,0.3,0.9,0.7
89,8701,0.6,0.5,0.7,0.4,0.5,0.7,0.8,0.7,0.7,1.3,1.8
90,9001,2.1,1.7,1.4,2.1,1.4,1.8,2.0,2.0,2.6,2.2,2.4
91,9201,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.5,1.3,1.7
